ID,Name,Category,Price,Quantity
1001,Refrigerator,Kitchen Appliances,999.99,10
1002,Washing Machine,Laundry Appliances,599.99,5
1003,Vacuum Cleaner,Cleaning Appliances,149.99,8
1004,Air Conditioner,Heating/Cooling Appliances,399.99,12
1005,Television,Entertainment Appliances,699.99,15
1006,Hair Dryer,Personal Care Appliances,49.99,20
1007,Water Purifier,Miscellaneous Appliances,129.99,6
1008,Oven and Stove,Kitchen Appliances,799.99,10
1009,Dishwasher,Kitchen Appliances,499.99,8
1010,Microwave,Kitchen Appliances,149.99,15
1011,Blender,Kitchen Appliances,59.99,20
1012,Coffee Maker,Kitchen Appliances,79.99,10
1013,Toaster,Kitchen Appliances,39.99,15
1015,Dryer,Laundry Appliances,499.99,12
1016,Iron,Laundry Appliances,39.99,20
1017,Clothes Steamer,Laundry Appliances,59.99,15
1018,Steam Cleaner,Cleaning Appliances,89.99,10
1019,Robotic Vacuum,Cleaning Appliances,249.99,5
1020,Carpet Cleaner,Cleaning Appliances,179.99,8
1021,Heater,Heating/Cooling Appliances,149.99,12
1022,Fans,Heating/Cooling Appliances,29.99,20
1023,Sound Systems,Entertainment Appliances,199.99,10
1024,Gaming Consoles,Entertainment Appliances,299.99,5
1025,Media Players,Entertainment Appliances,79.99,15
1026,Electric Shaver,Personal Care Appliances,79.99,20
1027,Electric Toothbrush,Personal Care Appliances,49.99,15
1028,Massager,Personal Care Appliances,99.99,8
1029,Water Purifier,Miscellaneous Appliances,199.99,6
1030,Sewing Machine,Miscellaneous Appliances,149.99,10
1031,Electric Can Opener,Miscellaneous Appliances,19.99,20
1032,Electric Kettle,Miscellaneous Appliances,29.99,15
